survey_year,label,malaria
2014,Western (pre 2022),42.6
2014,Central,48.7
2014,Greater Accra,11.8
2014,Volta (pre 2022),36.6
2014,Eastern,40.3
2014,Ashanti,20.6
2014,Brong-Ahafo,44.1
2014,"Northern, Upper West, Upper East",52.6
2014,..Northern (pre 2022),60.6
2014,..Upper West,62.3
2014,..Upper East,22.7
2016,Western (pre 2022),38.1
2016,Central,44.6
2016,Greater Accra,4.6
2016,Volta (pre 2022),37.3
2016,Eastern,34.6
2016,Ashanti,17.9
2016,Brong-Ahafo,29.9
2016,"Northern, Upper West, Upper East",35.7
2016,..Northern (pre 2022),39.3
2016,..Upper West,27.8
2016,..Upper East,25.8
2019,Western (pre 2022),31.2
2019,Central,29.9
2019,Greater Accra,1
2019,Volta (pre 2022),33.3
2019,Eastern,26.4
2019,Ashanti,15.8
2019,Brong-Ahafo,35.4
2019,"Northern, Upper West, Upper East",21.6
2019,..Northern (pre 2022),18.7
2019,..Upper West,22.6
2019,..Upper East,30.6
2022,Western (pre 2022),19.5
2022,..Western (post 2022),22.5
2022,..Western North,11.4
2022,Central,16.1
2022,Greater Accra,3.4
2022,Volta (pre 2022),16.3
2022,..Volta (post 2022),11.5
2022,..Oti,22.6
2022,Eastern,14.8
2022,Ashanti,11.1
2022,Brong-Ahafo,19.8
2022,..Ahafo,21.4
2022,..Bono,15.1
2022,..Bono East,22.1
2022,"Northern, Upper West, Upper East",25
2022,..Northern (pre 2022),21.6
2022,....Northern(post 2022),18.8
2022,....Savannah,26.6
2022,....Northeast,26.9
2022,..Upper West,30.2
2022,..Upper East,33.6
